Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
195,3,15.6,0,1,46,2.5,8,10,2,52,5,2.1
436,4,14.0,3,1,70,1.8,8,16,0,102,5,1.8
512,0,15.6,14,1,66,2.8,16,29,3,14,5,2.0
186,3,12.3,11,1,24,1.1,6,35,2,42,5,1.4
354,3,15.6,3,1,68,2.9,8,16,2,53,5,2.3
155,3,15.6,3,1,38,2.4,8,10,3,11,2,2.3
190,1,17.3,9,1,67,2.9,16,18,3,19,5,4.4
214,1,15.6,3,1,66,2.8,8,5,3,15,5,2.6
203,3,15.6,3,1,70,1.8,8,20,0,74,5,2.0
225,4,14.0,3,1,64,2.8,8,16,2,52,2,1.6
339,1,17.3,3,1,66,2.8,12,18,3,19,5,3.4
566,0,11.6,3,1,22,1.1,4,25,2,42,5,1.2
575,2,11.6,0,1,21,1.6,4,7,2,40,1,1.2
456,3,13.3,3,1,62,2.7,8,16,2,52,5,1.4
408,3,14.0,3,1,39,2.7,4,4,2,52,5,1.7
471,5,15.6,14,1,64,2.8,16,29,3,11,5,2.3
461,3,15.6,3,1,68,2.9,16,29,3,65,5,2.5
124,1,17.3,3,0,88,3.2,8,18,0,104,5,3.2
291,3,15.6,0,1,21,1.6,4,26,2,40,5,2.1
254,4,12.3,8,1,69,1.3,16,29,2,51,1,1.1
450,4,14.0,9,1,62,2.7,24,29,2,52,5,1.3
135,3,15.6,3,1,46,2.5,4,16,2,52,2,2.0
400,3,17.3,2,0,7,2.5,8,10,0,82,5,2.8
203,3,15.6,3,1,53,1.6,4,16,0,74,5,2.2
454,4,12.5,3,1,46,2.5,8,16,2,52,5,1.4
401,3,15.6,3,1,87,1.1,4,4,2,43,5,2.2
331,1,15.6,3,1,66,2.8,8,5,3,14,5,2.2
225,3,14.0,3,1,49,2.8,8,16,3,9,5,1.6
20,3,15.6,0,1,46,2.5,4,26,2,52,2,2.4
238,5,15.6,3,1,90,3.0,8,36,3,69,5,2.2
561,1,15.6,3,1,47,2.5,8,16,3,14,5,2.2
572,4,13.5,6,1,65,2.5,16,29,2,56,6,1.2
278,3,15.6,0,1,46,2.5,8,4,2,52,5,1.9
238,5,15.6,3,1,60,2.7,16,16,3,69,5,2.2
354,5,15.6,3,1,68,2.9,8,29,2,52,5,2.3
448,3,14.0,3,1,46,2.5,8,16,2,52,5,1.6
203,3,15.6,3,1,70,1.8,8,5,0,74,5,2.4
192,0,11.6,0,1,86,1.6,4,26,2,41,5,1.5
190,3,17.3,3,1,66,2.7,8,10,3,18,5,4.4
572,4,13.5,6,1,34,2.2,4,4,2,51,6,1.3
572,4,13.5,6,1,65,2.5,8,16,2,56,6,1.2
295,3,17.3,2,1,36,2.0,8,16,2,46,5,2.5
15,3,15.6,3,1,36,2.0,4,10,3,11,5,2.2
51,2,11.6,0,1,21,1.6,4,4,2,40,5,1.4
86,3,15.6,3,1,46,2.5,8,10,2,52,5,2.4
412,3,14.0,3,1,62,2.7,8,29,0,98,4,1.5
461,3,15.6,3,1,68,2.9,8,16,3,65,5,2.7
152,3,15.6,0,1,87,1.1,4,26,2,42,5,2.0
3,3,15.6,0,1,36,2.0,4,26,3,24,5,2.2
203,3,15.6,3,1,53,1.6,8,22,0,74,5,2.0
337,1,17.3,3,1,66,2.8,12,10,3,18,5,3.8
466,4,14.0,9,1,57,2.6,12,16,2,46,5,1.4
366,0,13.3,14,1,70,1.8,8,29,2,105,5,1.3
372,3,15.6,3,1,46,2.5,8,26,0,0,5,1.9
254,4,12.3,8,1,52,1.2,8,4,2,51,1,1.1
230,4,13.3,3,1,53,1.6,8,16,2,105,5,1.4
169,3,15.6,14,1,58,2.6,12,5,2,47,5,2.1
233,3,14.0,0,1,37,2.3,8,4,2,46,5,1.8
242,5,15.6,3,1,66,2.8,8,16,3,62,5,1.8
467,3,14.0,3,1,46,2.5,8,9,2,52,5,1.7
196,3,15.6,3,1,53,1.6,8,10,0,73,5,2.2
581,3,13.3,3,1,46,2.5,8,16,2,52,5,1.0
213,3,15.6,3,1,70,1.8,8,29,3,11,5,2.2
244,3,15.6,0,1,38,2.4,4,10,2,52,5,2.2
349,3,13.3,3,1,53,1.6,4,4,2,105,5,1.5
188,3,15.6,3,1,16,1.44,4,35,2,39,5,1.9
437,3,15.6,0,1,36,2.0,4,4,2,46,5,2.3
436,3,14.0,3,1,53,1.6,8,16,2,105,5,1.8
238,5,15.6,3,1,60,2.7,16,29,3,69,5,2.2
250,3,15.6,3,1,66,2.8,16,29,3,14,5,2.1
474,4,12.5,3,1,62,2.7,16,29,2,52,5,1.4
182,4,12.5,3,1,62,2.7,16,29,2,52,5,0.9
458,3,15.6,3,1,46,2.5,8,16,3,11,5,2.3
583,4,13.3,3,1,62,2.7,32,29,2,52,5,1.0
136,1,15.6,3,1,66,2.8,8,5,3,14,5,2.0
3,3,15.6,0,0,1,2.5,8,10,0,101,5,2.2
105,1,17.3,3,1,58,2.6,24,18,3,29,5,4.3
473,4,12.5,0,1,41,2.3,8,9,2,46,5,1.3
427,3,15.6,3,1,70,1.8,8,16,2,105,5,2.2
313,3,14.0,3,1,64,2.8,8,12,2,52,5,1.5
434,3,13.3,3,1,38,2.4,8,16,2,52,5,1.4
441,3,15.6,3,1,46,2.5,8,16,2,52,5,2.3
131,2,11.6,0,1,22,1.1,4,35,2,42,6,1.2
259,3,15.6,0,1,46,2.5,8,16,0,73,5,1.9
517,0,13.9,3,1,53,1.6,8,16,2,105,5,1.4
398,3,14.0,0,1,22,1.1,4,26,2,42,5,2.1
387,2,11.6,0,1,21,1.6,4,8,2,40,1,1.2
434,3,13.3,3,1,46,2.5,8,16,2,52,5,1.4
177,3,15.6,3,1,62,2.7,8,18,2,52,5,2.0
10,3,15.6,3,1,53,1.6,4,10,3,37,5,2.2
322,4,13.3,3,1,62,2.7,8,29,2,52,5,1.3
429,1,15.6,3,1,66,2.8,8,18,3,18,4,2.4
249,4,13.3,3,1,46,2.5,8,4,2,52,5,1.3
7,3,15.6,3,1,62,2.7,4,26,3,11,5,2.2
248,3,15.6,3,1,46,2.5,8,10,2,52,5,2.2
203,3,15.6,3,1,70,1.8,16,20,0,74,5,2.2
619,3,15.6,3,1,70,1.8,16,16,3,37,4,2.0
130,2,11.6,0,1,22,1.1,2,23,2,42,5,1.1
282,3,15.6,0,1,53,1.6,4,10,2,105,5,2.0
102,1,15.6,3,1,66,2.8,24,29,3,35,5,2.2
358,3,15.6,3,1,46,2.5,8,16,3,9,5,2.0
78,1,17.3,3,1,66,2.8,16,18,3,33,5,3.0
430,1,15.6,3,1,66,2.8,8,18,3,18,5,3.2
365,4,13.3,3,1,62,2.7,8,16,2,52,5,1.3
225,3,14.0,3,1,48,2.6,8,16,2,52,5,1.6
350,3,15.6,0,1,36,2.0,4,4,2,46,5,1.6
208,3,17.3,3,1,53,1.6,8,5,0,74,2,2.8
440,3,14.0,3,1,41,2.3,8,16,2,46,7,2.0
402,3,15.6,3,1,62,2.7,4,10,3,7,5,2.2
404,3,15.6,0,1,36,2.0,8,22,3,7,4,2.2
195,3,15.6,3,1,46,2.5,4,26,0,91,5,2.3
227,3,15.6,3,1,49,2.8,8,16,2,52,5,1.9
190,1,17.3,3,1,66,2.8,16,5,3,19,5,4.4
596,3,15.6,3,1,46,2.5,8,26,2,52,5,2.0
185,3,15.6,14,1,62,2.7,8,18,3,28,5,2.0
570,3,13.3,3,1,24,1.1,4,25,2,42,5,1.2
101,1,15.6,3,1,47,2.5,8,5,3,18,5,2.3
227,3,15.6,3,1,64,2.8,8,16,3,9,5,1.9
203,3,15.6,3,1,53,1.6,8,16,0,74,5,2.2
304,3,15.6,3,1,86,1.6,4,16,2,41,5,1.9
332,1,17.3,3,1,66,2.8,12,10,3,18,5,2.6
457,3,14.0,3,1,62,2.7,8,16,3,11,5,1.9
249,4,13.3,13,1,70,1.8,8,16,2,105,5,1.2
246,3,14.0,3,1,36,2.0,4,4,2,46,5,1.6
323,4,13.3,13,1,62,2.7,8,16,2,52,5,1.3
4,1,15.6,3,1,47,2.5,8,10,3,14,2,2.4
139,3,15.6,0,0,74,1.8,4,26,0,80,5,2.0
351,3,15.6,3,1,38,2.4,4,4,2,52,5,2.1
435,3,14.0,3,1,46,2.5,4,26,2,52,5,1.9
494,3,15.6,3,1,41,2.3,4,10,2,46,4,2.2
304,3,15.6,3,1,36,2.0,4,26,2,46,5,1.9
452,3,15.6,3,1,62,2.7,8,29,2,52,5,2.0
404,3,15.6,3,1,36,2.0,4,4,2,46,5,2.2
227,3,15.6,3,1,46,2.5,8,16,2,52,5,1.9
190,1,17.3,3,1,66,2.8,16,18,3,19,5,4.4
296,3,17.3,2,1,36,2.0,8,10,2,46,5,2.6
352,3,17.3,3,1,62,2.7,8,10,3,9,5,2.6
59,3,15.6,0,1,22,1.1,4,26,2,42,2,2.0
567,3,13.3,3,1,16,1.44,4,23,2,39,5,1.4
405,3,17.3,2,1,62,2.7,6,5,3,11,5,2.8
286,3,15.6,3,0,2,2.5,6,4,0,74,5,1.9
244,3,15.6,0,1,36,2.0,4,10,0,89,5,2.2
46,0,11.6,3,1,22,2.0,4,23,2,42,5,1.2
498,3,15.6,3,1,39,2.7,4,4,2,52,5,2.0
310,4,13.3,13,1,29,1.2,16,29,2,45,5,1.2
463,3,17.3,3,1,66,2.8,8,16,3,70,5,3.4
71,3,15.6,3,1,47,2.5,8,5,3,14,5,2.5
249,4,13.3,14,1,53,1.6,8,4,2,105,5,1.2
227,3,15.6,0,1,48,2.6,4,26,2,52,5,1.9
253,3,15.6,0,1,46,2.5,8,10,2,52,5,2.2
401,3,15.6,3,1,87,1.1,4,26,2,43,5,2.2
440,3,14.0,0,1,46,2.5,4,26,2,52,5,2.0
373,5,17.3,2,1,49,2.8,8,26,3,62,5,3.1
255,3,14.0,0,1,86,1.6,8,22,2,41,5,1.9
290,3,15.6,3,0,12,3.0,6,16,0,74,5,2.0
458,3,15.6,3,1,46,2.5,8,16,2,52,5,2.3
500,3,15.6,3,1,53,1.6,4,26,2,52,5,2.0
569,3,14.0,3,1,16,1.44,4,25,2,39,5,1.4
606,4,14.0,3,1,62,2.7,16,29,2,52,5,1.2
420,1,17.3,3,1,59,2.7,32,18,3,19,5,4.6
558,1,17.3,3,1,67,2.9,16,31,3,19,5,4.1
195,3,15.6,3,1,62,2.7,8,16,0,91,2,2.2
570,3,14.0,3,1,24,1.1,4,25,2,42,5,1.4
227,3,15.6,0,1,48,2.6,8,26,2,52,5,1.9
349,3,13.3,3,1,38,2.4,4,4,2,52,5,1.5
227,3,15.6,3,1,64,2.8,16,16,3,9,5,1.9
191,2,11.6,0,1,21,1.6,4,7,2,40,1,1.3
559,1,17.3,3,1,59,2.7,16,5,3,32,5,4.5
334,1,17.3,3,1,66,2.8,16,18,3,14,5,3.8
466,4,14.0,3,1,57,2.6,12,16,2,46,5,1.4
424,3,15.6,0,1,70,1.8,12,10,2,52,5,2.2
101,1,17.3,3,1,47,2.5,8,5,3,18,5,2.7
125,0,15.6,0,1,46,2.5,8,10,2,46,5,2.2
399,3,15.6,3,0,4,3.6,12,29,0,74,5,2.2
193,0,11.6,0,1,30,1.0,4,4,2,51,5,1.4
578,3,15.6,3,1,66,2.8,16,5,3,14,5,2.5
497,3,17.3,3,1,36,2.0,4,26,2,46,4,2.8
391,3,15.6,0,1,37,2.3,8,10,2,46,5,2.3
455,0,13.3,3,1,62,2.7,8,29,2,52,5,1.4
468,3,14.0,3,1,47,2.5,8,16,2,53,5,1.7
224,0,12.5,3,1,46,2.5,8,16,2,52,5,1.3
238,5,15.6,3,1,66,2.8,8,16,3,69,5,2.1
314,3,15.6,3,1,62,2.7,8,16,2,52,5,1.8
351,3,15.6,0,1,38,2.4,4,26,2,52,5,2.1
1,3,14.0,3,1,24,1.1,4,23,2,42,5,1.6
563,1,17.3,3,1,59,2.7,16,5,3,30,5,4.1
244,3,15.6,0,1,36,2.0,4,10,0,89,2,2.2
547,1,15.6,14,1,66,2.8,16,20,3,18,5,1.8
613,3,15.6,3,1,55,2.5,8,16,2,46,5,2.2
396,3,15.6,3,1,46,2.5,6,10,2,52,5,2.4
512,0,15.6,3,1,66,2.8,8,16,2,53,5,2.0
49,3,14.0,0,1,86,1.6,4,2,2,41,5,1.6
461,3,15.6,14,1,92,3.1,32,12,3,65,5,2.5
210,1,15.6,3,1,58,2.6,16,10,3,27,5,2.6
244,3,15.6,0,1,36,2.0,4,10,2,46,2,2.2
195,3,15.6,0,1,36,2.0,4,10,2,46,2,2.2
227,3,15.6,0,1,48,2.6,4,26,2,52,2,1.9
73,1,17.3,3,1,66,2.8,8,5,3,14,5,3.0
244,3,15.6,3,1,46,2.5,4,4,0,89,2,2.2
314,4,15.6,3,1,62,2.7,8,29,2,52,5,1.8
554,1,15.6,3,1,66,2.8,16,18,3,19,5,2.9
26,0,11.6,0,1,23,1.6,4,23,2,40,1,1.2
354,3,14.0,0,1,48,2.6,8,16,2,52,5,2.3
448,3,14.0,3,1,41,2.3,8,16,2,46,7,1.6
203,3,15.6,3,1,53,1.6,4,10,0,74,5,2.2
252,3,15.6,0,1,46,2.5,8,16,2,52,5,2.2
314,3,15.6,0,1,41,2.3,4,26,2,46,7,1.9
402,3,15.6,3,1,62,2.7,8,10,3,7,5,2.2
568,3,14.0,3,1,16,1.44,2,23,2,39,5,1.4
403,3,15.6,3,1,46,2.5,4,4,2,52,4,2.2
90,0,13.3,3,1,46,2.5,6,10,2,52,5,1.5
250,3,15.6,3,1,66,2.8,8,16,3,14,5,2.0
167,4,14.0,3,1,62,2.7,16,29,2,52,5,1.1
212,1,15.6,3,1,66,2.8,16,18,3,15,5,2.6
499,3,15.6,3,1,53,1.6,4,16,2,105,5,1.8
425,3,15.6,3,1,36,2.0,4,10,3,7,5,2.2
151,3,15.6,0,1,22,1.1,8,10,2,42,5,2.0
136,3,15.6,3,1,47,2.5,8,10,3,14,5,2.0
249,4,13.3,13,1,53,1.6,8,16,2,105,5,1.2
389,3,14.0,0,1,21,1.6,2,23,2,40,5,1.4
475,0,13.3,3,1,62,2.7,8,16,2,52,5,1.4
250,3,15.6,14,1,66,2.8,16,12,3,14,5,2.1
429,1,15.6,3,1,66,2.8,8,5,3,16,5,2.5
293,3,17.0,2,0,11,3.0,8,10,0,84,5,2.6
453,4,14.0,3,1,62,2.7,16,29,2,52,5,1.1
99,1,15.6,3,1,66,2.8,8,10,3,15,4,2.5
36,3,15.6,0,1,36,2.0,4,26,2,46,5,2.4
389,3,14.0,0,1,21,1.6,4,23,2,39,5,1.4
47,4,14.0,3,1,46,2.5,8,16,2,38,5,1.8
573,1,14.0,3,1,66,2.8,16,16,3,18,5,2.0
587,3,13.3,3,1,41,2.3,8,16,2,46,5,1.2
474,4,12.5,3,1,62,2.7,8,16,2,52,5,1.4
95,1,17.3,3,1,59,2.7,32,29,3,21,5,3.8
0,1,15.6,3,1,47,2.5,8,10,3,14,2,2.4
249,4,13.3,3,1,53,1.6,8,16,2,105,5,1.2
532,1,15.6,3,1,66,2.8,8,5,3,15,5,2.2
304,3,15.6,0,1,36,2.0,4,26,2,46,4,1.9
604,3,15.6,3,1,46,2.5,8,26,2,52,5,2.0
203,3,15.6,3,1,70,1.8,8,16,0,74,5,2.2
203,3,15.6,3,1,70,1.8,16,20,0,74,5,2.2
418,1,15.6,3,1,58,2.6,8,5,3,26,5,3.3
190,1,17.3,14,1,66,2.8,32,31,3,19,5,4.4
236,3,14.0,3,1,44,2.4,8,16,2,46,5,1.6
422,3,15.6,0,1,22,1.1,4,26,2,42,5,2.2
404,3,15.6,3,1,41,2.3,4,26,2,46,5,2.2
268,3,15.6,3,1,36,2.0,6,10,0,91,5,2.0
542,1,17.3,3,1,66,2.8,8,5,3,18,5,2.7
596,3,15.6,0,1,37,2.1,4,4,2,46,5,2.1
223,3,15.6,3,1,46,2.5,8,10,2,52,5,2.1
273,3,15.6,3,1,62,2.7,8,10,0,74,5,2.1
614,3,15.6,3,1,46,2.5,8,16,2,52,5,2.0
2,3,15.6,0,1,36,2.0,4,4,2,46,2,2.1
572,4,13.5,6,1,64,2.8,8,16,2,56,6,1.3
496,3,15.6,3,1,46,2.5,8,5,0,91,5,1.9
511,0,13.3,3,1,46,2.5,8,16,2,52,5,1.3
400,3,15.6,0,0,78,2.2,4,4,0,80,5,2.2
347,0,14.0,3,1,38,2.4,4,4,3,11,5,1.6
535,1,15.6,3,1,66,2.8,16,18,3,14,5,2.4
179,4,14.0,3,1,46,2.5,8,16,2,52,5,1.1
308,0,11.6,0,1,22,1.1,8,35,2,42,1,1.4
380,4,15.6,3,1,70,1.8,8,29,2,52,5,1.1
24,1,15.6,3,1,47,2.5,16,16,3,15,5,2.5
562,1,15.6,3,1,47,2.5,8,16,3,14,5,2.2
85,3,15.6,0,1,22,1.1,4,4,2,42,5,1.9
189,1,15.6,3,1,47,2.5,16,5,3,18,5,3.2
300,3,17.3,3,1,36,2.0,4,16,0,86,5,2.5
513,0,13.3,3,1,70,1.8,8,29,2,105,5,1.2
189,1,15.6,3,1,67,2.9,16,18,3,19,5,3.5
304,3,15.6,0,1,46,2.5,4,26,0,73,5,1.9
195,3,15.6,0,1,36,2.0,4,10,0,91,5,2.2
297,3,17.3,3,0,0,2.4,6,22,0,96,5,2.6
479,3,15.6,0,1,19,1.6,4,26,2,44,5,2.1
28,3,14.0,0,1,19,1.6,4,23,2,44,1,1.4
414,3,14.0,3,1,46,2.5,4,16,2,52,5,1.7
373,5,17.3,3,1,66,2.8,8,26,3,62,5,3.1
453,0,14.0,9,1,62,2.7,8,16,2,52,5,1.4
596,3,13.3,3,1,46,2.5,8,16,2,52,5,1.5
52,2,11.6,0,1,20,1.6,4,23,2,39,5,1.4
516,0,14.0,3,1,62,2.7,16,29,2,52,5,1.4
61,0,12.5,3,1,31,0.9,4,35,2,45,1,1.2
593,4,13.3,3,1,55,2.5,16,29,2,46,5,1.4
272,3,15.6,3,1,62,2.7,4,26,0,74,5,2.1
204,1,15.6,3,1,47,2.5,8,10,3,14,5,2.6
400,3,15.6,3,0,11,2.9,4,16,0,74,5,2.2
399,3,15.6,0,0,4,3.6,8,10,0,92,5,2.2
487,3,15.6,3,1,46,2.5,4,11,2,52,5,2.1
493,3,15.6,0,1,36,2.0,4,26,2,46,4,1.9
248,3,15.6,3,1,46,2.5,8,16,2,52,5,2.2
45,0,13.3,3,1,53,1.6,8,16,2,105,5,1.6
444,5,15.6,3,1,55,2.5,16,29,3,68,7,2.2
465,3,14.0,3,1,43,2.3,8,16,2,46,5,1.8
299,3,17.3,3,0,1,2.5,6,22,0,74,5,2.7
429,1,15.6,3,1,66,2.8,8,5,3,15,5,2.5
225,3,14.0,3,1,49,2.8,8,16,3,9,2,1.6
248,3,15.6,3,1,46,2.5,8,10,2,52,2,2.0
132,3,14.0,3,1,22,1.1,4,23,2,42,5,1.5
227,3,15.6,3,1,48,2.6,16,29,2,52,5,1.9
457,3,14.0,3,1,46,2.5,8,16,3,7,5,1.9
227,3,15.6,3,1,48,2.6,8,16,2,52,5,1.9
381,3,15.6,0,0,6,2.0,4,26,0,82,5,2.2
571,3,14.0,4,1,14,1.92,4,24,2,40,5,1.4
352,3,17.3,3,1,62,2.7,8,16,3,9,5,2.6
453,4,14.0,9,1,55,2.5,8,29,2,46,5,1.2
347,0,13.3,0,1,46,2.5,8,16,2,52,5,1.6
450,4,14.0,3,1,46,2.5,8,16,2,52,5,1.3
190,1,17.3,14,1,66,2.8,32,13,3,19,5,4.4
534,1,17.3,3,1,66,2.8,8,5,3,15,5,2.7
488,3,15.6,0,1,46,2.5,4,10,2,52,4,1.9
203,3,15.6,3,1,53,1.6,8,5,0,74,5,2.2
199,0,13.3,3,1,38,2.4,4,10,2,52,5,1.7
201,3,15.6,0,1,46,2.5,8,10,0,97,2,2.3
265,3,15.6,3,0,11,3.0,4,10,0,73,5,2.1
40,1,17.3,3,1,58,2.6,16,5,3,18,5,4.2
195,3,15.6,0,1,46,2.5,12,10,2,52,5,2.2
266,3,15.6,3,0,12,3.0,6,5,0,73,5,2.1
37,3,15.6,0,1,46,2.5,4,26,2,52,5,2.4
434,3,13.3,3,1,46,2.5,8,16,2,52,5,1.4
490,3,15.6,3,1,62,2.7,4,10,2,52,5,1.8
371,5,15.6,3,1,66,2.8,16,16,3,64,5,2.6
200,0,13.3,3,1,53,1.6,8,10,2,105,5,1.6
547,1,15.6,3,1,66,2.8,16,18,3,18,5,1.8
20,3,15.6,0,1,36,2.0,4,26,2,46,5,2.4
211,3,15.6,3,1,62,2.7,8,5,3,11,5,2.0
244,3,15.6,0,1,36,2.0,8,16,2,46,5,2.0
605,3,14.0,3,1,46,2.5,8,16,2,52,5,1.2
388,0,14.0,3,1,46,2.5,8,16,2,52,5,1.7
462,5,15.6,14,1,64,2.8,16,12,3,68,5,2.5
28,3,14.0,0,1,21,1.6,2,23,2,40,1,1.7
577,4,13.3,3,1,62,2.7,16,16,2,52,5,0.8
304,3,15.6,3,1,36,2.0,8,16,2,46,5,1.9
225,3,14.0,0,1,46,2.5,8,16,2,52,5,1.6
376,5,17.3,3,1,91,2.9,16,16,3,63,7,3.0
432,2,11.6,0,1,21,1.6,4,4,2,40,5,1.4
314,3,15.6,3,1,44,2.4,8,16,2,46,5,1.8
157,3,15.6,0,1,43,2.3,4,10,3,25,4,2.4
464,4,14.0,3,1,41,2.3,4,9,2,46,5,1.7
87,3,15.6,0,1,62,2.7,4,16,2,52,5,2.4
514,0,13.3,13,1,42,1.8,8,16,2,49,5,1.3
289,3,15.6,3,1,47,2.5,8,5,3,14,5,2.2
371,5,15.6,3,1,58,2.6,8,16,3,61,7,2.6
190,1,15.6,14,1,66,2.8,16,18,3,19,5,4.4
2,3,15.6,0,1,46,2.5,4,16,2,52,5,2.1
429,1,15.6,3,1,66,2.8,8,5,3,14,5,2.5
229,4,12.5,3,1,64,2.8,16,16,2,52,5,1.2
254,4,12.3,8,1,52,1.2,8,16,2,51,1,1.1
181,4,13.3,13,1,46,2.5,8,16,2,52,5,1.2
220,3,13.3,0,1,36,2.0,4,26,2,46,5,1.6
53,3,13.3,0,1,41,2.3,4,4,2,46,5,1.6
164,3,17.3,0,1,87,1.1,4,10,3,7,5,2.8
210,1,15.6,14,1,58,2.6,16,5,3,28,5,2.7
577,4,13.3,3,1,62,2.7,8,16,2,52,5,1.3
5,3,15.6,0,1,87,1.1,4,10,2,43,2,2.1
201,3,15.6,3,1,62,2.7,16,16,0,97,5,2.3
577,0,15.0,3,1,62,2.7,16,16,0,75,5,1.7
598,3,14.0,0,1,41,2.3,4,4,2,46,5,1.8
212,1,15.6,3,1,66,2.8,8,10,3,14,5,2.6
312,4,12.5,0,1,41,2.3,4,16,2,46,5,1.3
91,0,15.6,3,1,62,2.7,12,22,3,11,5,2.3
460,3,15.6,14,1,60,2.7,16,29,3,63,7,2.5
47,3,14.0,3,1,38,2.4,4,4,2,52,5,1.8
573,1,14.0,3,1,66,2.8,16,29,3,18,5,2.0
141,3,15.6,3,1,84,1.1,8,4,2,43,5,2.0
190,1,17.3,3,1,66,2.8,32,13,3,20,5,4.4
106,1,17.3,3,1,58,2.6,16,18,3,19,5,4.3
611,4,14.0,3,1,57,2.6,16,29,3,8,5,1.5
390,3,15.6,0,1,25,1.6,8,10,2,41,4,2.2
450,4,14.0,3,1,62,2.7,16,29,2,52,5,1.7
544,1,14.0,3,1,66,2.8,16,18,3,18,5,1.6
529,1,15.6,3,1,47,2.5,8,5,3,14,5,2.2
429,1,15.6,3,1,66,2.8,4,10,3,14,5,2.4
41,1,17.3,3,1,66,2.8,16,18,3,18,5,4.2
212,1,15.6,3,1,47,2.5,8,16,3,14,5,2.6
67,1,15.6,3,1,66,2.8,8,5,3,34,5,2.2
615,3,14.0,3,1,22,1.1,4,23,2,42,5,1.2
455,0,13.3,3,1,62,2.7,8,29,2,52,5,1.4
508,0,15.6,3,1,46,2.5,8,16,0,98,5,2.1
55,4,12.0,7,1,26,1.2,8,28,2,48,3,0.9
453,0,14.0,9,1,46,2.5,8,16,2,52,5,1.4
93,3,14.0,0,1,22,1.1,4,23,2,42,5,1.6
223,3,15.6,0,1,46,2.5,8,4,2,52,5,2.0
516,0,13.9,3,1,62,2.7,8,16,2,52,5,1.4
248,3,15.6,3,1,36,2.0,8,16,0,90,5,2.0
373,5,15.6,3,1,66,2.8,8,16,3,64,5,3.1
89,3,15.6,3,1,46,2.5,8,16,2,52,5,2.4
249,4,13.3,3,1,46,2.5,8,16,2,52,5,1.3
250,3,15.6,14,1,47,2.5,8,16,3,14,5,2.1
219,2,11.6,0,1,87,1.1,4,4,2,43,5,1.6
312,2,12.5,0,1,48,2.6,8,16,2,52,5,1.3
596,3,15.6,0,1,41,2.3,4,26,2,46,5,2.1
269,3,15.6,0,0,3,2.5,8,22,0,93,5,2.0
212,1,15.6,14,1,66,2.8,16,29,3,15,5,2.6
396,3,15.6,3,1,46,2.5,4,10,3,6,5,2.4
338,1,17.3,3,1,66,2.8,12,10,0,104,5,3.7
523,1,17.3,3,1,66,2.8,16,31,3,19,5,2.9
577,4,13.3,3,1,46,2.5,8,16,2,52,5,0.8
248,3,15.6,3,1,62,2.7,8,10,3,13,5,2.0
244,3,15.6,3,1,46,2.5,8,16,0,89,5,2.2
469,4,14.0,3,1,62,2.7,8,16,2,52,5,1.3
574,4,12.5,14,1,62,2.5,16,29,2,52,5,1.3
306,2,11.6,0,1,21,1.6,4,7,2,40,1,1.2
190,1,17.3,3,1,66,2.8,16,5,3,18,5,4.4
221,3,14.0,0,1,41,2.3,4,26,2,46,5,1.8
483,3,15.6,0,1,36,2.0,4,26,2,46,5,2.1
607,4,14.0,0,1,46,2.5,4,4,2,52,5,1.2
472,4,14.0,3,1,62,2.7,8,29,2,52,5,1.1
530,1,15.6,3,1,47,2.5,8,16,3,14,5,2.4
453,4,14.0,3,1,46,2.5,8,15,2,52,5,1.1
596,3,14.0,0,1,82,2.1,4,4,2,44,5,1.8
168,0,13.3,3,1,46,2.5,8,16,2,52,5,1.1
221,3,14.0,0,1,36,2.0,4,26,2,46,5,1.8
27,2,11.6,0,1,21,1.6,4,23,2,40,1,1.4
47,3,14.0,3,1,38,2.4,8,4,2,52,5,1.5
573,1,17.3,14,1,67,2.9,32,29,3,21,5,3.5
472,4,14.0,9,1,57,2.6,16,29,2,46,5,1.1
135,3,15.6,3,1,46,2.5,4,10,3,5,2,2.1
464,3,14.0,3,1,41,2.3,8,16,2,46,5,1.7
450,3,14.0,3,1,48,2.6,8,16,2,52,5,1.3
189,1,15.6,3,1,66,2.8,16,18,3,19,5,3.2
117,1,17.3,3,1,66,2.8,16,18,3,19,5,2.9
596,3,15.6,0,1,38,2.4,4,26,2,52,5,2.0
433,3,14.0,0,1,23,1.6,4,7,2,40,1,1.5
94,3,15.6,3,1,46,2.5,8,3,2,52,5,2.3
115,1,17.3,3,1,58,2.6,16,31,3,18,5,2.7
190,1,17.3,3,1,66,2.8,32,31,3,19,5,4.4
352,3,17.3,2,1,46,2.5,8,10,3,9,5,2.6
244,3,15.6,0,1,46,2.5,8,4,2,52,5,2.2
313,4,14.0,3,1,55,2.5,8,29,2,46,7,1.5
244,3,15.6,3,1,62,2.7,4,16,0,89,5,2.2
308,0,11.6,0,1,22,1.1,4,23,2,42,1,1.4
173,4,13.3,3,1,41,2.3,8,29,3,10,5,1.4
316,0,13.3,3,1,46,2.5,8,16,2,52,5,1.3
313,4,14.0,3,1,55,2.5,8,29,2,46,5,1.5
304,3,15.6,0,1,21,1.6,4,4,2,40,4,1.9
109,1,15.6,3,1,66,2.8,16,5,3,18,5,2.1
